Observation Number,dist_cod,county,district,gr_span,enrl_tot,teachers,calw_pct,meal_pct,computer,testscr,comp_stu,expn_stu,str,avginc,el_pct,read_scr,math_scr
56,64477,Los Angeles,Eastside Union Elementary,KK-08,2404,105,20.927400589,52.9435005188,202,632,0.0840266198,4838.1752929688,22.8952388763,13.7620000839,18.2612323761,633.5,630.5
57,64691,Los Angeles,Lawndale Elementary,KK-08,5804,283.1499938965,28.3425006866,81.1165008545,480,632.200012207,0.0827015862,5367.98828125,20.4979705811,14.1840000153,34.7002067566,631.4000244141,633
58,67421,Sacramento,Robla Elementary,KK-06,2253,112.6500015259,43.4976005554,84.5539016724,196,632.25,0.0869951174,5526.2368164063,20,8.8649997711,33.2889480591,637.5,627
59,66191,Monterey,Santa Rita Union Elementary,KK-08,2807,126.1200027466,15.4595003128,52.3964004517,152,632.4499511719,0.0541503392,4353.01953125,22.2565803528,12.9969997406,33.4877090454,637.299987793,627.5999755859
60,72561,Ventura,Rio Elementary,KK-08,3074,142.5500030518,11.2897996902,66.1949005127,249,632.8499755859,0.0810019523,5034.2900390625,21.5643634796,11.5920000076,38.1587524414,633.200012207,632.5
61,72157,Tulare,Strathmore Union Elementary,KK-08,723,37.1199989319,25.9211006165,83.1578979492,45,632.950012207,0.0622406639,4692.4936523438,19.4773712158,8.2790002823,36.9294624329,629.200012207,636.700012207
62,67397,Sacramento,North Sacramento Elementary,KK-06,5138,290.7749938965,58.7522010803,84.9990005493,560,633.049987793,0.1089918241,5606.7817382813,17.6700210571,10.9056425095,32.989490509,630.299987793,635.799987793
63,66423,Orange,Anaheim Elementary,KK-06,20927,953.5,10.9113998413,82.3926010132,1048,633.1500244141,0.0500788465,4969.1806640625,21.947561264,13.4006252289,58.2166557312,629.5999755859,636.700012207
64,63974,Kings,Lemoore Union Elementary,KK-08,3017,138.5,14.9767999649,56.0635986328,496,633.6500244141,0.1644017249,4675.6748046875,21.7833938599,11.0810003281,17.0036468506,634.4000244141,632.9000244141
65,63875,Kings,Armona Union Elementary,KK-08,957,50,27.1681995392,82.1316986084,149,633.9000244141,0.155694887,5306.1328125,19.1399993896,9.0819997787,17.6593532562,634.700012207,633.0999755859
66,63339,Kern,Beardsley Elementary,KK-08,1639,90.5,46.8881988525,80.6042022705,287,634,0.1751067787,5693.8833007813,18.110496521,13.3900003433,7.3215374947,638.4000244141,629.5999755859
67,65037,Los Angeles,South Whittier Elementary,KK-08,4340,209.8399963379,17.7026004791,93.9226989746,284,634.0500488281,0.0654377863,5181.5795898438,20.6824245453,14.6016254425,31.1981563568,631.9000244141,636.200012207
68,63917,Kings,Hanford Elementary,KK-08,5079,224.5,25.559299469,63.8036003113,585,634.0999755859,0.1151801571,5228.6508789063,22.6236076355,11.1160001755,16.6174449921,637.700012207,630.5
69,68221,San Diego,National Elementary,KK-06,6639,304.7300109863,26.8414001465,100,505,634.0999755859,0.0760656744,5339.3911132813,21.7864990234,8.4230003357,58.081035614,631.5,636.700012207
70,70904,Sonoma,Roseland Elementary,KK-06,1154,62.0999984741,22.9277000427,84.9206008911,129,634.1500244141,0.1117850989,6056.4970703125,18.5829315186,11.6649999619,55.8925437927,636.799987793,631.5
71,63420,Kern,Di Giorgio Elementary,KK-08,237,11,19.831199646,76.7931976318,13,634.1999511719,0.0548523217,4845.6801757813,21.5454540253,7.3049998283,5.4852323532,631.799987793,636.5999755859
72,64642,Los Angeles,Keppel Union Elementary,KK-08,2987,141.2100067139,21.2588005066,68.3964004517,273,634.4000244141,0.0913960487,4826.666015625,21.1528911591,13.7305994034,14.4291934967,637.700012207,631.0999755859
73,63966,Kings,Lakeside Union Elementary,KK-08,499,30,40.3670005798,83.1193008423,94,634.549987793,0.1883767545,5367.0903320313,16.6333332062,11.1160001755,22.8456916809,635.5,633.5999755859
74,65771,Merced,Merced City Elementary,KK-08,11474,542.6500244141,40.5526008606,77.0089035034,1248,634.700012207,0.108767651,5742.7329101563,21.1443824768,10.3644285202,38.7833366394,633.200012207,636.200012207
75,69203,Santa Barbara,Guadalupe Union Elementary,KK-08,1088,55,14.1543998718,86.0294036865,107,634.9000244141,0.0983455852,4136.2509765625,19.7818183899,6.9829998016,64.2463226318,631.0999755859,638.700012207
76,67694,San Bernardino,Cucamonga Elementary,KK-08,2660,140.1199951172,15.7601003647,74.8509979248,259,634.9499511719,0.0973684192,5267.8310546875,18.9837284088,14.4678001404,25.2255649567,637.799987793,632.0999755859
77,61705,Contra Costa,Knightsen Elementary,KK-08,353,19.9799995422,8.6721000671,33.0623016357,8,635.049987793,0.0226628892,5238.3920898438,17.6676673889,14.6529998779,5.3824362755,636.5999755859,633.5
78,63008,Humboldt,Rio Dell Elementary,KK-08,329,18.5300006866,28.9157009125,85.5421981812,37,635.1999511719,0.1124620065,5462.8994140625,17.7549915314,10.6289997101,6.0790276527,644.299987793,626.0999755859
79,70417,Siskiyou,Montague Elementary,KK-08,252,16.5,23.4568004608,66.2550964355,32,635.450012207,0.1269841343,6313.3735351563,15.2727270126,9.7810001373,0,640.9000244141,630
80,70409,Siskiyou,McCloud Union Elementary,KK-08,175,12.5,21.7646999359,68.8235015869,31,635.5999755859,0.1771428585,6653.0307617188,14,10.6560001373,0,634.5999755859,636.5999755859
81,72587,Ventura,Santa Paula Elementary,KK-08,3835,186.1999969482,13.9911003113,72.8628005981,897,635.5999755859,0.2338983119,5533.1494140625,20.5961341858,11.9379997253,34.8891792297,633,638.200012207
82,62539,Fresno,West Park Elementary,KK-08,314,19.25,29.9363002777,93.6305999756,8,635.75,0.0254777074,6118.7104492188,16.3116874695,7.3850002289,13.0573244095,636.700012207,634.799987793
83,65631,Merced,Atwater Elementary,KK-08,4458,211,22.2222003937,72.3208007813,445,635.950012207,0.0998205468,5098.626953125,21.1279621124,10.6759996414,36.0251235962,633.200012207,638.700012207
84,65862,Merced,Weaver Union Elementary,KK-08,1313,75.0800018311,32.0867996216,73.5976028442,112,636.0999755859,0.0853008404,5652.87890625,17.4880123138,9.9720001221,34.653465271,633.9000244141,638.299987793
85,62356,Fresno,Pacific Union Elementary,KK-08,474,26.5,21.5189990997,75.7384033203,36,636.5,0.0759493634,5329.0024414063,17.8867931366,8.2580003738,28.6919822693,634.700012207,638.299987793
86,75051,San Bernardino,Lucerne Valley Unified,KK-08,1114,57.7000007629,29.4468002319,62.2127990723,277,636.5999755859,0.2486535013,5929.8090820313,19.3067588806,8.8959999084,1.7953321934,645.4000244141,627.799987793
87,67231,Riverside,Romoland Elementary,KK-06,1358,65,14.7903003693,80.8683013916,178,636.6999511719,0.131075114,4897.0678710938,20.8923072815,12.0620002747,30.6332855225,632.299987793,641.0999755859
88,64501,Los Angeles,El Monte City Elementary,KK-08,11629,546.299987793,25.3794002533,83.8737030029,1015,636.9000244141,0.0872817934,5100.2021484375,21.2868385315,9.4288949966,59.033454895,632.4000244141,641.4000244141
89,63503,Kern,Greenfield Union Elementary,KK-08,6195,306.75,21.0433006287,68.5718994141,1261,636.950012207,0.2035512477,4825.72265625,20.1955986023,8.9203329086,13.5593223572,636.200012207,637.700012207
90,72033,Tulare,Palo Verde Union Elementary,KK-08,499,20,23.6993999481,80.9248962402,35,637,0.0701402798,4079.1291503906,24.9500007629,10.0979995728,5.0100197792,636.0999755859,637.9000244141
91,67322,Sacramento,Elverta Joint Elementary,KK-08,417,23,19.9041004181,46.0432014465,27,637.0999755859,0.0647481978,5349.3676757813,18.1304340363,11.8299999237,0.9592326283,638,636.200012207
92,64048,Lake,Lucerne Elementary,KK-08,300,15,48.3443984985,72.1854019165,55,637.3499755859,0.1833333373,5869.3891601563,20,11.5530004501,0.6666666865,640.9000244141,633.799987793
93,69542,Santa Clara,Luther Burbank Elementary,KK-08,457,24.3999996185,16.8160991669,67.7129974365,50,637.6500244141,0.1094091907,6462.1279296875,18.7295093536,19.7070007324,38.5120353699,644.9000244141,630.4000244141
94,61382,Butte,Bangor Union Elementary,KK-08,146,8,25.3425006866,54.1096000671,34,637.9499511719,0.232876718,6231.6015625,18.25,7.1050000191,0,646.0999755859,629.799987793
95,68858,San Mateo,Bayshore Elementary,KK-08,460,24.2199993134,10.5931997299,66.9492034912,71,637.950012207,0.1543478221,4993.8676757813,18.9925689697,13.7250003815,17.1739139557,633.200012207,642.700012207
96,72017,Tulare,Oak Valley Union Elementary,KK-08,354,17.7999992371,10.2777996063,59.7221984863,28,638,0.0790960416,4663.8110351563,19.8876419067,10.0979995728,9.887005806,636.700012207,639.299987793
97,65151,Los Angeles,Wilsona Elementary,KK-08,1841,95,25.2579994202,64.7473983765,315,638.200012207,0.1711026579,6107.1064453125,19.3789482117,13.7620000839,19.3916358948,640.4000244141,636
98,63073,Imperial,Brawley Elementary,KK-08,3760,183.75,26.901599884,65.7960968018,717,638.3000488281,0.190691486,5324.2280273438,20.4625854492,9.6649999619,36.4893608093,636.200012207,640.4000244141
99,63198,Imperial,Meadows Union Elementary,KK-08,500,22.4300003052,18.7999992371,83,70,638.3000488281,0.1400000006,5221.4609375,22.2915725708,10.263999939,39.3999977112,630.4000244141,646.200012207
100,64717,Los Angeles,Little Lake City Elementary,KK-08,5112,246.8999938965,10.6912002563,59.7234992981,383,638.3499755859,0.0749217495,5157.7846679688,20.7047386169,11.5692005157,28.6776218414,638.5999755859,638.0999755859
101,63719,Kern,Pond Union Elementary,KK-08,146,7.6599998474,13.6985998154,66.4384002686,28,638.549987793,0.1917808205,5131.119140625,19.0600528717,7.4050002098,13.6986303329,637.5,639.5999755859
102,63800,Kern,Taft City Elementary,KK-08,2141,105.8199996948,26.4965000153,65.3827972412,134,638.700012207,0.0625875741,5279.3540039063,20.2324695587,12.0769996643,11.3498363495,636.9000244141,640.5
103,71357,Sutter,Brittan Elementary,KK-08,610,30.9799995422,8.524600029,56.0656013489,144,639.25,0.2360655665,4704.0439453125,19.6901226044,11.2829999924,3.4426231384,640.299987793,638.200012207
104,65557,Mendocino,Arena Union Elementary,KK-08,337,16.5499992371,21.2625007629,60.132900238,26,639.3000488281,0.0771513358,6089.9106445313,20.3625392914,10.0349998474,15.430267334,642.700012207,635.9000244141
105,67587,San Bernardino,Adelanto Elementary,KK-08,4501,227.8500061035,19.129699707,63.9054985046,597,639.3499755859,0.1326371878,5356.8334960938,19.7542228699,8.3839998245,17.973783493,639.9000244141,638.799987793
106,67470,San Benito,Hollister School District,KK-08,5718,295.049987793,6.8407001495,37.0456008911,313,639.5,0.0547394194,5144.5493164063,19.3797664642,13.6300001144,22.7177333832,641.4000244141,637.5999755859
107,64857,Los Angeles,Palmdale Elementary,KK-08,19402,846.3800048828,20.5237007141,51.242099762,1182,639.75,0.0609215535,4906.2299804688,22.9235095978,14.1276674271,18.4362449646,641.700012207,637.799987793
108,61507,Butte,Oroville City Elementary,KK-08,3401,175.5500030518,52.2198982239,74.2723007202,560,639.799987793,0.1646574587,5489.5888671875,19.3733978271,11.2661247253,16.1717147827,641.5,638.0999755859
109,63792,Kern,Standard Elementary,KK-08,2621,136.8300018311,25.8297996521,64.0977020264,397,639.8499755859,0.1514689028,5718.5512695313,19.1551551819,13.3900003433,2.0221288204,641.4000244141,638.299987793
110,72447,Ventura,Briggs Elementary,KK-08,426,20,3.9906001091,64.7886962891,87,639.9000244141,0.2042253464,4436.1528320313,21.2999992371,11.9379997253,9.6244134903,634.299987793,645.5
111,62323,Fresno,Monroe Elementary,KK-08,205,11.1999998093,18.5366001129,80.9756011963,24,640.0999755859,0.1170731708,4895.439453125,18.303571701,8.2580003738,41.4634132385,643.5,636.700012207
112,64667,Los Angeles,Lancaster Elementary,KK-08,13668,648.4099731445,28.1753005981,56.2994003296,1321,640.1500244141,0.0966491103,5159.21875,21.0792560577,14.2267274857,9.8990345001,640.4000244141,639.9000244141
113,65177,Madera,Alview-Dairyland Union Elementary,KK-08,342,18.2000007629,11.3959999084,68.0912017822,98,640.5,0.2865497172,5490.6547851563,18.7912082672,10.4720001221,16.0818710327,637.700012207,643.299987793
114,66589,Orange,Magnolia Elementary,KK-06,6518,332.1000061035,12.2791004181,71.0238037109,499,640.75,0.0765572265,5172.01953125,19.6266174316,14.2429008484,43.4949378967,638.5,643
115,71985,Tulare,Liberty Elementary,KK-08,239,12.1999998093,15.6118001938,69.620300293,30,640.9000244141,0.1255230159,4441.6728515625,19.5901641846,14.0659999847,8.7866106033,644.9000244141,636.9000244141
116,69617,Santa Clara,Mt. Pleasant Elementary,KK-08,2911,139.4700012207,11.9285001755,52.9734992981,281,641.0999755859,0.0965304002,5220.3701171875,20.8718719482,15.968000412,39.0243873596,640.4000244141,641.799987793
117,63123,Imperial,El Centro Elementary,KK-08,6272,297.0400085449,28.7199993134,71.7623977661,1338,641.4499511719,0.2133290768,5252.810546875,21.1150016785,10.263999939,53.8903045654,639.299987793,643.5999755859
118,68395,San Diego,South Bay Union Elementary,KK-06,10218,508.75,17.4202003479,70.8063964844,1435,641.4499511719,0.1404384375,5518.7021484375,20.08452034,10.6024703979,41.1332931519,638.5999755859,644.299987793
119,69914,Shasta,Cascade Union Elementary,KK-08,1735,87.1399993896,47.2621994019,75.5043029785,222,641.549987793,0.127953887,5609.4877929688,19.9104881287,10.5229997635,1.383285284,640.799987793,642.299987793
120,71969,Tulare,Kings River Union Elementary,KK-08,474,26.6100006104,20.6751003265,82.0674972534,96,641.8000488281,0.2025316507,4945.0317382813,17.8128509521,11.2379999161,35.4430389404,638.9000244141,644.700012207
121,71548,Tehama,Gerber Union Elementary,KK-08,544,30,20.5505008698,74.8623962402,145,642.1999511719,0.2665441036,5223.025390625,18.1333332062,10.0559997559,8.639705658,641.799987793,642.5999755859
122,71910,Tulare,Exeter Union Elementary,KK-08,1987,103.3700027466,15.2812004089,54.6540985107,283,642.200012207,0.1424257606,4757.025390625,19.2222118378,11.1829996109,15.3497743607,637,647.4000244141
123,62000,Fresno,American Union Elementary,KK-08,418,22.3999996185,10.6964998245,63.432800293,50,642.4000244141,0.1196172237,5522.1616210938,18.6607151031,7.3850002289,19.8564586639,640.200012207,644.5999755859
124,66167,Monterey,San Antonio Union Elementary,KK-08,196,10,19.6891002655,47.1502990723,40,642.75,0.2040816396,6087.6088867188,19.6000003815,13.579000473,3.0612244606,652.5999755859,632.9000244141
125,71837,Tulare,Burton Elementary,KK-08,2208,114.5,14.4139995575,53.2106018066,92,643.049987793,0.0416666679,4960.515625,19.2838420868,9.6300001144,9.8731880188,642,644.0999755859
126,67157,Riverside,Nuview Union Elementary,KK-08,1255,55,11.3221998215,44.2597007751,165,643.1999511719,0.1314741075,4880.0405273438,22.8181819916,15.2740001678,16.0956172943,642.5999755859,643.799987793
127,70615,Sonoma,Bellevue Union Elementary,KK-06,1469,78.0999984741,20.9666004181,80.2586975098,65,643.25,0.0442477874,6538.41796875,18.8092193604,14.0342502594,43.4989776611,639.4000244141,647.0999755859
128,64550,Los Angeles,Garvey Elementary,KK-08,7114,332.8399963379,34.5942001343,82.5721969604,680,643.4000244141,0.0955861658,4925.6596679688,21.373632431,10.2396669388,45.0379524231,638.9000244141,647.9000244141
129,71498,Tehama,Corning Union Elementary,KK-08,1962,98,24.4151000977,67.7518005371,170,643.4000244141,0.0866462812,5204.6875,20.0204086304,9.4849996567,18.1957187653,641.700012207,645.0999755859
130,68916,San Mateo,Jefferson Elementary,KK-08,7761,361,6.4911999702,44.476600647,658,643.5,0.084782891,4907.4106445313,21.4986152649,15.0298748016,15.4876947403,644.200012207,642.799987793
131,70185,Siskiyou,Big Springs Union Elementary,KK-08,216,14,9.4169998169,48.8788986206,47,643.5,0.217592597,5923.4516601563,15.428571701,9.7810001373,0.9259259105,652.700012207,634.299987793
132,63487,Kern,General Shafter Elementary,KK-08,224,10,7.1428999901,58.0357017517,31,643.6999511719,0.1383928508,4741.95703125,22.3999996185,13.1920003891,7.5892858505,633.5999755859,653.799987793
133,71308,Stanislaus,Turlock Joint Elementary,KK-08,7887,391.8599853516,16.4023990631,57.0722007751,1004,643.700012207,0.1272980869,4954.01953125,20.1270866394,12.2159996033,29.0858383179,645.700012207,641.700012207
134,72421,Tuolumne,Twain Harte-Long Barn Union Elementary,KK-08,752,39.5,11.7104997635,34.0788993835,0,644.1999511719,0,5500.1079101563,19.0379753113,14.0760002136,0.1329787225,652.299987793,636.0999755859
135,69005,San Mateo,Redwood City Elementary,KK-08,9328,537.8800048828,7.4875001907,39.0368003845,1719,644.200012207,0.1842838824,5360.5170898438,17.3421573639,25.4873332977,50.8576316833,644.5,643.9000244141
